StudentID,Year,Faculty,Level,Age,Gender,OverallSatisfaction,TeachingQuality,CoursesStrengths,CoursesWeaknesses,ResearchOpportunities,LabsAndFacilitiesFeedback,AdvisingSupport,DigitalLearningToolsFeedback,CampusLifeFeedback,CareerSupport,AdministrationEfficiencyFeedback,LibraryAndResourcesFeedback,HealthAndWellnessServices,SafetyAndSecurity,RecommendUniversity,OpenComment,,,
STU122,2024.0,Arts,Senior,22.0,Male,3.0,2.0,Senior project,Critique,3.0,Studio small,2.0,Wifi bad,Art friends,2.0,No job,Graduation,Library ok,2.0,3.0,Maybe,Fun but not practical.,,
STU123,2020.0,Medicine,Sophomore,24.0,Female,5.0,5.0,Clinical skills,Pharma,5.0,Sim lab,iPad apps,Med family,4.0,Research,Admin good,Library 24h,3.0,4.0,Yes,Supportive environment.,,,
STU124,2023.0,Pharmacy,Junior,21.0,Male,2.0,2.0,Medicinal chem,Therapeutics,2.0,Lab dirty,2.0,Online lectures bad,Pharm party,3.0,Internship hard,Admin slow,Library full,2.0,3.0,No,Professors don't care.,,
STU125,2021.0,Sciences,Freshman,19.0,Female,4.0,4.0,Bio 101,Chem 101,4.0,Labs clean,4.0,Online homework,Bio club,3.0,Too early,Registration easy,Library good,4.0,4.0,Yes,Science program is strong.,,
STU126,2019.0,Media,Senior,22.0,Male,5.0,5.0,Final film,Editing,5.0,Edit suite,Rendering,Film fest,Job at TV,Graduation,Library DVD,4.0,5.0,Yes,Great film program.,,,,
STU127,2025.0,Engineering,Sophomore,20.0,Female,3.0,3.0,Statics,Math,3.0,Labs ok,3.0,Software ok,Eng club,3.0,Co-op search,Admin ok,Library ok,3.0,3.0,Maybe,"It is okay, just hard.",,
STU128,2022.0,Law,Junior,24.0,Male,5.0,4.0,Corporate law,Tax,5.0,Moot court,Research tools,Corp law soc,5.0,Summer job,Admin good,Library good,3.0,4.0,Yes,Corporate law focus is good.,,,
STU129,2024.0,CS,Freshman,18.0,Male,4.0,5.0,Java,Math,4.0,Labs new,5.0,Coding environments,Hackathon,3.0,Too early,Registration fast,Library power,4.0,5.0,Yes,Coding facilities are great.,,
STU130,2020.0,Business,Senior,22.0,Female,2.0,2.0,Marketing capstone,Strategy,2.0,Room hot,2.0,Wifi slow,Marketing club,3.0,No job yet,Graduation issues,Library loud,2.0,3.0,No,Career center failed me.,,
STU131,2023.0,Engineering,Senior,22.0,Male,5.0,5.0,Aerospace capstone,Fluids,5.0,Wind tunnel,Simulation,Aero club,5.0,Job at Boeing,Graduation,Library journals,4.0,5.0,Yes,Aerospace program is top notch.,,,
STU132,2018.0,Arts,Junior,21.0,Female,4.0,3.0,Photography,History,4.0,Darkroom,Digital archive,Photo club,3.0,Gallery intern,Admin ok,Library photo books,4.0,4.0,Yes,Photography dept is good.,,,
STU133,2022.0,Medicine,Freshman,19.0,Male,5.0,4.0,Anatomy,Biochem,5.0,Cadavers,Apps,Med group,3.0,Volunteer,Registration auto,Library quiet,3.0,4.0,Yes,Great start to med school.,,,
STU134,2025.0,Pharmacy,Sophomore,20.0,Female,3.0,3.0,Pharmaceutics,Calc,3.0,Lab ok,3.0,Quiz timer,Pharm soc,3.0,Intern search,Admin ok,Library ok,3.0,3.0,Maybe,Average pharmacy school.,,
STU135,2021.0,Sciences,Senior,22.0,Male,2.0,2.0,Physics thesis,Quantum,2.0,Lab old,2.0,Software crash,Physics club,2.0,Grad school reject,Admin slow,Library ok,2.0,3.0,No,Research support is weak.,,
STU136,2019.0,Media,Junior,21.0,Female,5.0,5.0,Journalism,Ethics,5.0,Newsroom,Digital tools,Newspaper,Internship CNN,Admin good,Library archives,4.0,5.0,Yes,Real newsroom experience.,,,,
STU137,2024.0,CS,Sophomore,20.0,Male,4.0,4.0,C++,Algorithms,4.0,Labs fast,4.0,Linux servers,Coding club,4.0,Internship hunt,Admin ok,Library ok,4.0,4.0,Yes,Solid CS education.,,
STU138,2020.0,Law,Freshman,23.0,Female,3.0,3.0,Torts,Writing,3.0,Seats hard,3.0,Westlaw,Law socials,3.0,Networking,Admissions ok,Library scary,2.0,3.0,Maybe,Law school is stressful.,,
STU139,2023.0,Business,Junior,21.0,Male,5.0,5.0,Finance,Investments,5.0,Trading room,Bloomberg,Finance soc,5.0,Bank intern,Admin good,Library data,4.0,5.0,Yes,Trading room is amazing.,,,
STU140,2021.0,Engineering,Freshman,18.0,Female,4.0,3.0,Intro to Eng,Calc,4.0,Makerspace,Canvas,Eng women,Too early,Reg ok,Library good,4.0,4.0,Yes,Welcoming to female engineers.,,,,
STU141,2025.0,Arts,Senior,22.0,Male,2.0,1.0,Final show,Theory,2.0,Studio leak,1.0,Wifi dead,Art clique,1.0,No job,Graduation mess,Library ok,2.0,2.0,No,Facilities are falling apart.,,
STU142,2018.0,Medicine,Sophomore,24.0,Female,5.0,5.0,Pathology,Microbio,5.0,Labs clean,Digital slides,Med events,4.0,Research,Admin helpful,Library 24/7,3.0,4.0,Yes,Love the curriculum.,,,
STU143,2022.0,Pharmacy,Junior,21.0,Male,4.0,4.0,Clinical,Therapeutics,4.0,Hospital sim,Drug info,Pharm mixer,4.0,Rotation,Admin ok,Library good,3.0,4.0,Yes,Good clinical focus.,,,
STU144,2024.0,Sciences,Freshman,19.0,Female,3.0,3.0,Bio 101,Chem,3.0,Lab crowded,3.0,Online hw,Science club,3.0,Too early,Reg ok,Library ok,3.0,3.0,Maybe,Classes are too big.,,
STU145,2020.0,Media,Senior,22.0,Male,5.0,5.0,Film capstone,Directing,5.0,Equipment,Editing,Film fest,5.0,Indie film,Graduation,Library film,4.0,5.0,Yes,Made great connections.,,,
STU146,2023.0,CS,Junior,21.0,Female,2.0,2.0,Web dev,Databases,2.0,Computers old,2.0,Server slow,Coding club,3.0,Internship hard,Admin rude,Library ok,2.0,3.0,No,Tech is outdated.,,
STU147,2019.0,Law,Senior,25.0,Male,5.0,4.0,Criminal defense,Evidence,5.0,Clinic,Research,Law review,5.0,Public defender,Graduation,Library good,3.0,4.0,Yes,Clinic prepared me for court.,,,
STU148,2021.0,Business,Freshman,18.0,Female,4.0,4.0,Marketing,Econ,4.0,Classrooms,Portal,Biz club,3.0,Career fair,Reg ok,Library social,4.0,4.0,Yes,Good vibe.,,,
STU149,2025.0,Engineering,Sophomore,20.0,Male,3.0,2.0,Statics,Math,3.0,Lab ok,2.0,Sim slow,Eng frat,3.0,Co-op,Admin slow,Library loud,3.0,3.0,Maybe,Hard to get classes.,,
STU150,2022.0,Arts,Junior,21.0,Female,5.0,5.0,Ceramics,Glazing,5.0,Kilns new,Insta page,Pottery club,4.0,Sales,Admin good,Library art,5.0,5.0,Yes,Ceramics studio is best.,,,
STU151,2018.0,Medicine,Senior,25.0,Male,4.0,4.0,Surgery,Medicine,4.0,Hospital,Records,Med party,5.0,Matched,Graduation,Library ok,3.0,4.0,Yes,Good training.,,,
STU152,2024.0,Pharmacy,Freshman,19.0,Female,2.0,2.0,Chem,Bio,2.0,Lab smell,2.0,Portal bad,Pharm soc,2.0,Too early,Reg hard,Library cold,2.0,2.0,No,Disorganized start.,,
STU153,2020.0,Sciences,Junior,21.0,Male,5.0,5.0,Chemistry,Organic,5.0,Hoods new,Spectrometer,Chem club,4.0,Research,Admin good,Library quiet,4.0,5.0,Yes,Chemistry dept is rich.,,,
STU154,2023.0,Media,Sophomore,20.0,Female,4.0,4.0,Radio,Audio,4.0,Studio sound,Editing,Radio club,3.0,Intern,Reg ok,Library music,4.0,4.0,Yes,Radio station is fun.,,,
STU155,2021.0,CS,Senior,22.0,Male,5.0,5.0,AI,Robotics,5.0,Robot lab,AI tools,Robo club,5.0,Job Amazon,Graduation,Library tech,4.0,5.0,Yes,AI track is elite.,,,
STU156,2025.0,Law,Freshman,23.0,Female,3.0,3.0,Contracts,Property,3.0,Seats,Westlaw,Law soc,3.0,Network,Admissions,Library quiet,3.0,3.0,Maybe,It is law school.,,,
STU157,2019.0,Business,Senior,22.0,Male,2.0,2.0,Mgmt,Strategy,2.0,Room old,Wifi bad,Biz club,2.0,No job,Graduation,Library full,2.0,2.0,No,Waste of tuition.,,,
STU158,2022.0,Engineering,Junior,21.0,Female,5.0,5.0,Civil,Structures,5.0,Concrete lab,CAD,Civil soc,5.0,Internship,Admin good,Library map,4.0,5.0,Yes,Love civil engineering.,,,
STU159,2024.0,Arts,Sophomore,20.0,Male,4.0,4.0,Painting,History,4.0,Studio,Online,Art club,3.0,Sales,Reg ok,Library art,4.0,4.0,Yes,Good studios.,,,
STU160,2020.0,Medicine,Freshman,18.0,Female,5.0,5.0,Anatomy,Physio,5.0,Lab clean,Apps,Med group,3.0,Volunteer,Reg auto,Library 24h,3.0,4.0,Yes,Excited to be here.,,,
STU161,2023.0,Pharmacy,Senior,23.0,Male,3.0,3.0,Clinical,Law,3.0,Hospital,Db,Pharm event,4.0,Residency,Graduation,Library ok,3.0,3.0,Maybe,Okay experience.,,,
STU162,2021.0,Sciences,Freshman,19.0,Female,2.0,2.0,Bio,Chem,2.0,Lab crowded,Hw crash,Sci club,2.0,Too early,Reg fail,Library loud,2.0,3.0,No,Too many people.,,,
STU163,2025.0,Media,Junior,21.0,Male,5.0,5.0,TV prod,Camera,5.0,Studio TV,Avid,TV club,4.0,Internship,Admin good,Library vid,4.0,5.0,Yes,TV studio is pro.,,,
STU164,2018.0,CS,Sophomore,20.0,Female,4.0,3.0,Java,Math,4.0,Lab new,Code,Coding club,3.0,Intern,Reg ok,Library ok,4.0,4.0,Yes,Good for girls in tech.,,,
STU165,2022.0,Law,Senior,25.0,Male,5.0,5.0,Intl law,Human rights,5.0,Moot,Lexis,Law rev,5.0,Job UN,Graduation,Library good,3.0,4.0,Yes,International focus.,,,
STU166,2024.0,Business,Freshman,18.0,Female,3.0,3.0,Intro,Econ,3.0,Class,Portal,Biz club,3.0,Career,Reg ok,Library soc,3.0,3.0,Maybe,Just started.,,,
STU167,2020.0,Engineering,Senior,22.0,Male,2.0,2.0,Mech,Thermo,2.0,Lab broken,Sim fail,Mech soc,2.0,No job,Graduation,Library ok,2.0,3.0,No,Equipment is junk.,,,
STU168,2023.0,Arts,Junior,21.0,Female,5.0,5.0,Photo,Lighting,5.0,Studio,Digital,Photo club,4.0,Freelance,Admin good,Library book,5.0,5.0,Yes,Photography is great.,,,
STU169,2021.0,Medicine,Sophomore,24.0,Male,4.0,5.0,Path,Pharm,4.0,Lab,iPad,Med soc,4.0,Research,Admin ok,Library 24h,3.0,4.0,Yes,Hard but good.,,,
STU170,2025.0,Pharmacy,Freshman,19.0,Female,3.0,3.0,Chem,Bio,3.0,Lab,Portal,Pharm soc,3.0,Too early,Reg ok,Library ok,3.0,3.0,Maybe,Standard.,,,
STU171,2019.0,Sciences,Senior,22.0,Male,5.0,5.0,Physics,Astro,5.0,Telescope,Data,Astro club,5.0,PhD,Thesis,Journal,4.0,5.0,Yes,Astronomy rocks.,,,
STU172,2022.0,Media,Sophomore,20.0,Female,2.0,2.0,Journalism,Writing,2.0,No camera,Word,Paper,2.0,No gig,Reg hard,Library ok,2.0,2.0,No,No equipment.,,,
STU173,2024.0,CS,Junior,21.0,Male,5.0,5.0,Security,Network,5.0,Cyber lab,Kali,Hack club,5.0,Internship,Admin good,Library tech,4.0,5.0,Yes,Cybersecurity is cool.,,,
STU174,2020.0,Law,Freshman,23.0,Female,4.0,4.0,Torts,Civ pro,4.0,Hall,Westlaw,Law soc,3.0,Network,Admin ok,Library quiet,3.0,4.0,Yes,Good start.,,,
STU175,2023.0,Business,Senior,22.0,Male,5.0,5.0,Finance,Derivatives,5.0,Bloomberg,Trading,Fin soc,5.0,Job Bank,Graduation,Library data,4.0,5.0,Yes,Got a great job.,,,
STU176,2021.0,Engineering,Freshman,18.0,Female,3.0,3.0,Intro,Calc,3.0,Lab,Canvas,Eng soc,3.0,Too early,Reg ok,Library ok,3.0,3.0,Maybe,It is okay.,,,
STU177,2025.0,Arts,Sophomore,20.0,Male,2.0,1.0,Draw,Hist,2.0,Studio,Web,Art club,1.0,No sales,Reg hard,Library dark,2.0,2.0,No,Not worth the money.,,,
STU178,2018.0,Medicine,Junior,23.0,Female,5.0,5.0,Peds,Obgyn,5.0,Hosp,Records,Med event,4.0,Residency,Admin good,Library 24h,3.0,4.0,Yes,Clinical years are best.,,,
STU179,2022.0,Pharmacy,Senior,23.0,Male,4.0,4.0,Clinical,Safety,4.0,Hosp,Db,Pharm soc,5.0,Residency,Graduation,Library ok,3.0,4.0,Yes,Good education.,,,
STU180,2024.0,Sciences,Freshman,19.0,Female,3.0,3.0,Bio,Chem,3.0,Lab,Hw,Sci club,3.0,Too early,Reg ok,Library ok,3.0,3.0,Maybe,Basic science.,,,
STU181,2020.0,Media,Senior,22.0,Male,5.0,5.0,Film,Sound,5.0,Studio,Edit,Film club,5.0,Job LA,Graduation,Library DVD,4.0,5.0,Yes,Moving to Hollywood.,,,
STU182,2023.0,CS,Sophomore,20.0,Female,2.0,2.0,Java,Math,2.0,Lab old,Code slow,Club drama,2.0,No intern,Reg fail,Library ok,2.0,3.0,No,Computers are slow.,,,
STU183,2021.0,Law,Junior,24.0,Male,5.0,5.0,Const law,Admin law,5.0,Moot,Lexis,Law rev,5.0,Clerkship,Admin good,Library good,3.0,4.0,Yes,Love the professors.,,,
STU184,2025.0,Business,Freshman,18.0,Male,4.0,3.0,Mgmt,Econ,4.0,Class,Portal,Biz club,3.0,Career,Reg ok,Library soc,4.0,4.0,Yes,Fun so far.,,,
STU185,2019.0,Engineering,Senior,22.0,Female,5.0,5.0,Chem E,Reactor,5.0,Lab new,Sim,Chem E soc,5.0,Job Shell,Graduation,Library ok,4.0,5.0,Yes,Chem E is strong.,,,
STU186,2022.0,Arts,Junior,21.0,Male,3.0,3.0,Sculpt,Hist,3.0,Studio,Web,Art club,3.0,Sales,Admin ok,Library ok,3.0,3.0,Maybe,Average.,,,
STU187,2024.0,Medicine,Freshman,19.0,Female,5.0,4.0,Anatomy,Biochem,5.0,Lab,App,Med group,3.0,Volunteer,Reg auto,Library 24h,3.0,4.0,Yes,Hard but fun.,,,
STU188,2020.0,Pharmacy,Sophomore,20.0,Male,2.0,2.0,Chem,Calc,2.0,Lab dirty,Portal,Pharm soc,2.0,Intern,Reg hard,Library cold,2.0,2.0,No,Regret pharmacy.,,,
STU189,2023.0,Sciences,Senior,22.0,Female,5.0,5.0,Bio,Genetics,5.0,Lab,Data,Bio club,5.0,Med school,Thesis,Journal,4.0,5.0,Yes,Pre-med track is good.,,,
STU190,2021.0,Media,Junior,21.0,Male,4.0,4.0,PR,Writing,4.0,Agency,Monitor,PR soc,4.0,Intern,Admin ok,Library ok,4.0,4.0,Yes,PR is practical.,,,
STU191,2025.0,CS,Freshman,18.0,Female,5.0,5.0,Python,Math,5.0,Lab,Code,Tech club,3.0,Too early,Reg fast,Library good,4.0,5.0,Yes,Love coding.,,,
STU192,2018.0,Law,Senior,25.0,Male,3.0,3.0,Tax,Wills,3.0,Hall,Westlaw,Law soc,3.0,Job hunt,Graduation,Library ok,3.0,3.0,Maybe,Job market is tough.,,,
STU193,2022.0,Business,Sophomore,20.0,Female,4.0,4.0,Mktg,Acct,4.0,Room,Canvas,Biz club,4.0,Intern,Reg ok,Library soc,4.0,4.0,Yes,Good professors.,,,
STU194,2024.0,Engineering,Junior,21.0,Male,2.0,2.0,Elec,Circuits,2.0,Lab broken,Sim fail,IEEE,2.0,No co-op,Admin rude,Library full,2.0,3.0,No,Labs are a joke.,,,
STU195,2020.0,Arts,Senior,22.0,Female,5.0,5.0,Design,Layout,5.0,Mac lab,Adobe,Design club,5.0,Job agency,Graduation,Library book,4.0,5.0,Yes,Graphic design rules.,,,
STU196,2023.0,Medicine,Sophomore,24.0,Male,4.0,4.0,Skills,Pharma,4.0,Sim,iPad,Med soc,4.0,Research,Admin ok,Library 24h,3.0,4.0,Yes,Good training.,,,
STU197,2021.0,Pharmacy,Junior,21.0,Female,3.0,3.0,Clinical,Therapy,3.0,Hosp,Db,Pharm soc,3.0,Rotation,Admin ok,Library ok,3.0,3.0,Maybe,Just okay.,,,
STU198,2025.0,Sciences,Freshman,19.0,Male,2.0,2.0,Physics,Math,2.0,Lab old,Hw bad,Sci club,2.0,Too early,Reg fail,Library loud,2.0,2.0,No,Physics is poorly taught.,,,
STU199,2019.0,Media,Senior,22.0,Female,5.0,5.0,Film,Direct,5.0,Camera,Edit,Film club,5.0,Job NY,Graduation,Library DVD,4.0,5.0,Yes,Dream come true.,,,
STU200,2022.0,CS,Junior,21.0,Male,4.0,4.0,Cloud,Network,4.0,Server,AWS,Tech club,4.0,Intern,Admin ok,Library tech,4.0,5.0,Yes,Cloud track is good.,,,
